"sample_ref","source_type","source_name","source_url","anonymized_label","current_company","current_job_title","matched_job_family","current_country","current_city","education","major","graduation_status","total_experience_years","related_experience_years","career_history","tech_stack","domain_experience","certifications","languages","github_present","portfolio_present","project_experience_notes","raw_notes","public_safe"
"EMP-JOBJPKANSAIFE001-04","dummy_seed","careerlens_generated","","Kansai SaaS Works Frontend employee sample 4","Kansai SaaS Works","Web Application Engineer","Frontend","Japan","Osaka","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Kansai SaaS Works Frontend Engineer 2 years","Next.js|CSS|REST API|Design System|Tailwind|Performance","B2B admin console","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in B2B admin console, design system, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPKANSAIFE001-05","dummy_seed","careerlens_generated","","Kansai SaaS Works Frontend employee sample 5","Kansai SaaS Works","UI Platform Engineer","Frontend","Japan","Osaka","Bachelor","Computer Science","Graduated","9","8","Junior Engineer 7 years|Kansai SaaS Works Frontend Engineer 2 years","CSS|REST API|Design System|Testing|Performance|Figma","B2B admin console","JLPT N2","Japanese|English","false","true","Dummy anonymized sample with experience in B2B admin console, internationalized web app, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPMIRAIFE001-01","dummy_seed","careerlens_generated","","Mirai EdTech Frontend employee sample 1","Mirai EdTech","Frontend Software Engineer","Frontend","Japan","Fukuoka","Bachelor","Computer Science","Graduated","4","3","Junior Engineer 2 years|Mirai EdTech Frontend Engineer 2 years","TypeScript|React|Next.js|CSS|GraphQL|Storybook","learning dashboard","JLPT N2","Japanese|English","true","true","Dummy anonymized sample with experience in learning dashboard, dashboard UI, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPMIRAIFE001-02","dummy_seed","careerlens_generated","","Mirai EdTech Frontend employee sample 2","Mirai EdTech","Product Frontend Engineer","Frontend","Japan","Fukuoka","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Mirai EdTech Frontend Engineer 2 years","React|Next.js|CSS|REST API|Storybook|Tailwind","learning dashboard","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in learning dashboard, customer workflow, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPMIRAIFE001-03","dummy_seed","careerlens_generated","","Mirai EdTech Frontend employee sample 3","Mirai EdTech","Web Application Engineer","Frontend","Japan","Fukuoka","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Mirai EdTech Frontend Engineer 2 years","Next.js|CSS|REST API|Design System|Tailwind|Performance","learning dashboard","JLPT N2","Japanese|English","true","true","Dummy anonymized sample with experience in learning dashboard, design system, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPMIRAIFE001-04","dummy_seed","careerlens_generated","","Mirai EdTech Frontend employee sample 4","Mirai EdTech","UI Platform Engineer","Frontend","Japan","Fukuoka","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Mirai EdTech Frontend Engineer 2 years","CSS|REST API|Design System|Testing|Performance|Figma","learning dashboard","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in learning dashboard, internationalized web app, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPMIRAIFE001-05","dummy_seed","careerlens_generated","","Mirai EdTech Frontend employee sample 5","Mirai EdTech","Frontend Software Engineer","Frontend","Japan","Fukuoka","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Mirai EdTech Frontend Engineer 2 years","REST API|Design System|Testing|Accessibility|Figma|Playwright","learning dashboard","JLPT N2","Japanese|English","false","true","Dummy anonymized sample with experience in learning dashboard, dashboard UI, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPGINZAFE001-01","dummy_seed","careerlens_generated","","Ginza Design Cloud Frontend employee sample 1","Ginza Design Cloud","Product Frontend Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","4","3","Junior Engineer 2 years|Ginza Design Cloud Frontend Engineer 2 years","React|Next.js|CSS|REST API|Storybook|Tailwind","collaboration design system","JLPT N2","Japanese|English","true","true","Dummy anonymized sample with experience in collaboration design system, customer workflow, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPGINZAFE001-02","dummy_seed","careerlens_generated","","Ginza Design Cloud Frontend employee sample 2","Ginza Design Cloud","Web Application Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","5","4","Junior Engineer 3 years|Ginza Design Cloud Frontend Engineer 2 years","Next.js|CSS|REST API|Design System|Tailwind|Performance","collaboration design system","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in collaboration design system, design system, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPGINZAFE001-03","dummy_seed","careerlens_generated","","Ginza Design Cloud Frontend employee sample 3","Ginza Design Cloud","UI Platform Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","6","5","Junior Engineer 4 years|Ginza Design Cloud Frontend Engineer 2 years","CSS|REST API|Design System|Testing|Performance|Figma","collaboration design system","JLPT N2","Japanese|English","true","true","Dummy anonymized sample with experience in collaboration design system, internationalized web app, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPGINZAFE001-04","dummy_seed","careerlens_generated","","Ginza Design Cloud Frontend employee sample 4","Ginza Design Cloud","Frontend Software Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","7","6","Junior Engineer 5 years|Ginza Design Cloud Frontend Engineer 2 years","REST API|Design System|Testing|Accessibility|Figma|Playwright","collaboration design system","JLPT N1","Japanese|English","true","true","Dummy anonymized sample with experience in collaboration design system, dashboard UI, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
"EMP-JOBJPGINZAFE001-05","dummy_seed","careerlens_generated","","Ginza Design Cloud Frontend employee sample 5","Ginza Design Cloud","Product Frontend Engineer","Frontend","Japan","Tokyo","Bachelor","Computer Science","Graduated","8","7","Junior Engineer 6 years|Ginza Design Cloud Frontend Engineer 2 years","Design System|Testing|Accessibility|TypeScript|Playwright|i18n","collaboration design system","JLPT N2","Japanese|English","false","true","Dummy anonymized sample with experience in collaboration design system, customer workflow, and production collaboration.","Generated dummy employee sample. No real person or external profile.","true"
